contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CABZFF010000006.1	50608	52011	-	AG-337-E15_00776	AG-337-E15	467	OG0000436	K00325	H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]	COG1282	PntB	NAD/NADP transhydrogenase beta subunit	AG-337-E15_00782	-5
CABZFF010000006.1	52008	52319	-	AG-337-E15_00777	AG-337-E15	103	OG0000454	NA	NA	COG3288	PntA	NAD/NADP transhydrogenase alpha subunit	AG-337-E15_00782	-4
CABZFF010000006.1	52321	53415	-	AG-337-E15_00778	AG-337-E15	364	OG0000352	K00324	H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]	COG3288	PntA	NAD/NADP transhydrogenase alpha subunit	AG-337-E15_00782	-3
CABZFF010000006.1	53435	53545	-	AG-337-E15_00779	AG-337-E15	36	OG0001226	NA	NA	NA	NA	NA	AG-337-E15_00782	-2
CABZFF010000006.1	53888	55093	-	AG-337-E15_00781	AG-337-E15	401	OG0000010	NA	NA	COG0438	RfaB	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	AG-337-E15_00782	-1
CABZFF010000006.1	55132	57606	-	AG-337-E15_00782	AG-337-E15	824	OG0002671	NA	NA	COG2194	OpgE	Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily	AG-337-E15_00782	0
CABZFF010000006.1	57610	58356	-	AG-337-E15_00783	AG-337-E15	248	OG0001522	NA	NA	COG5036	NA	SPX domain-containing protein involved in vacuolar polyphosphate accumulation	AG-337-E15_00782	1
CABZFF010000006.1	58356	61010	-	AG-337-E15_00784	AG-337-E15	884	OG0001485	NA	NA	COG5337	CotH	Spore coat protein CotH	AG-337-E15_00782	2
CABZFF010000006.1	61012	61905	-	AG-337-E15_00785	AG-337-E15	297	OG0002999	NA	NA	COG3063	PilF	Type IV pilus assembly pilotin PilF, contains TPR repeats	AG-337-E15_00782	3
CABZFF010000006.1	62058	62750	-	AG-337-E15_00786	AG-337-E15	230	OG0001539	NA	NA	NA	NA	NA	AG-337-E15_00782	4
CABZFF010000006.1	62981	63883	-	AG-337-E15_00788	AG-337-E15	300	OG0001391	NA	NA	COG0451	WcaG	Nucleoside-diphosphate-sugar epimerase	AG-337-E15_00782	5
Ga0182791_11	84926	86233	+	LSUCC0261_00084	LSUCC0261	435	OG0001882	NA	NA	COG3222	NA	Uncharacterized conserved protein, glycosyltransferase A (GT-A) superfamily, DUF2064 family	LSUCC0261_00089	-5
Ga0182791_11	86238	86777	-	LSUCC0261_00085	LSUCC0261	179	OG0002633	NA	NA	COG2128	YciW	Alkylhydroperoxidase family enzyme, contains CxxC motif	LSUCC0261_00089	-4
Ga0182791_11	86814	87287	+	LSUCC0261_00086	LSUCC0261	157	OG0001094	K07305	peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]	COG0229	MsrB	Peptide methionine sulfoxide reductase MsrB	LSUCC0261_00089	-3
Ga0182791_11	87305	87763	+	LSUCC0261_00087	LSUCC0261	152	OG0002116	K15977	putative oxidoreductase	COG2259	DoxX	Uncharacterized membrane protein YphA, DoxX/SURF4 family	LSUCC0261_00089	-2
Ga0182791_11	87763	87855	+	LSUCC0261_00088	LSUCC0261	30	OG0002638	NA	NA	NA	NA	NA	LSUCC0261_00089	-1
Ga0182791_11	87860	89446	-	LSUCC0261_00089	LSUCC0261	528	OG0002671	K03760	lipid A ethanolaminephosphotransferase [EC:2.7.8.43]	COG2194	OpgE	Phosphoethanolamine transferase for periplasmic glucans OpgE, AlkP superfamily	LSUCC0261_00089	0
