contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CACFVS010000026.1	9	323	+	AG-414-M23_01132	AG-414-M23	104	OG0000924	K06929	uncharacterized protein	COG1832	YccU	Predicted CoA-binding protein	AG-414-M23_01136	-4
CACFVS010000026.1	335	1300	-	AG-414-M23_01133	AG-414-M23	321	OG0001299	NA	NA	COG3491	PcbC	Isopenicillin N synthase and related dioxygenases	AG-414-M23_01136	-3
CACFVS010000026.1	1301	2251	-	AG-414-M23_01134	AG-414-M23	316	OG0000003	K15270	S-adenosylmethionine uptake transporter	COG0697	EamA	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	AG-414-M23_01136	-2
CACFVS010000026.1	2321	3430	-	AG-414-M23_01135	AG-414-M23	369	NA	K00613	glycine amidinotransferase [EC:2.1.4.1]	COG1834	DdaH	N-Dimethylarginine dimethylaminohydrolase	AG-414-M23_01136	-1
CACFVS010000026.1	3491	4192	+	AG-414-M23_01136	AG-414-M23	233	OG0003234	NA	NA	NA	NA	NA	AG-414-M23_01136	0
CACFVS010000026.1	4189	5769	-	AG-414-M23_01137	AG-414-M23	526	OG0000054	K00108	choline dehydrogenase [EC:1.1.99.1]	COG2303	BetA	Choline dehydrogenase or related flavoprotein	AG-414-M23_01136	1
CACFVS010000026.1	5766	6302	-	AG-414-M23_01138	AG-414-M23	178	OG0000612	NA	NA	COG4341	NA	Predicted HD phosphohydrolase	AG-414-M23_01136	2
CACFVS010000026.1	6306	7133	-	AG-414-M23_01139	AG-414-M23	275	OG0000927	NA	NA	COG2175	TauD	Taurine dioxygenase, alpha-ketoglutarate-dependent	AG-414-M23_01136	3
CACFVS010000026.1	7135	7602	-	AG-414-M23_01140	AG-414-M23	155	OG0001047	NA	NA	COG0824	FadM	Acyl-CoA thioesterase FadM	AG-414-M23_01136	4
CACFVS010000026.1	7652	8539	+	AG-414-M23_01141	AG-414-M23	295	OG0001243	K18013	3-keto-5-aminohexanoate cleavage enzyme [EC:2.3.1.247]	COG3246	NA	Uncharacterized conserved protein, DUF849 family	AG-414-M23_01136	5
CACGTJ010000006.1	14785	15789	+	AG-426-C04_00539	AG-426-C04	334	OG0001135	K07080	uncharacterized protein	COG2358	Imp	TRAP-type uncharacterized transport system, periplasmic component	AG-426-C04_00544	-5
CACGTJ010000006.1	15861	18200	+	AG-426-C04_00540	AG-426-C04	779	OG0001153	NA	NA	COG4666	NA	TRAP-type uncharacterized transport system, fused permease components	AG-426-C04_00544	-4
CACGTJ010000006.1	18203	19171	-	AG-426-C04_00541	AG-426-C04	322	OG0001299	NA	NA	COG3491	PcbC	Isopenicillin N synthase and related dioxygenases	AG-426-C04_00544	-3
CACGTJ010000006.1	19172	20122	-	AG-426-C04_00542	AG-426-C04	316	OG0000003	K15270	S-adenosylmethionine uptake transporter	COG0697	EamA	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	AG-426-C04_00544	-2
CACGTJ010000006.1	20176	21285	-	AG-426-C04_00543	AG-426-C04	369	OG0000943	K00613	glycine amidinotransferase [EC:2.1.4.1]	COG1834	DdaH	N-Dimethylarginine dimethylaminohydrolase	AG-426-C04_00544	-1
CACGTJ010000006.1	21355	22041	+	AG-426-C04_00544	AG-426-C04	228	OG0003234	NA	NA	NA	NA	NA	AG-426-C04_00544	0
CACGTJ010000006.1	22128	22748	+	AG-426-C04_00545	AG-426-C04	206	OG0001145	NA	NA	NA	NA	NA	AG-426-C04_00544	1
CACGTJ010000006.1	22757	24337	-	AG-426-C04_00546	AG-426-C04	526	OG0000054	K00108	choline dehydrogenase [EC:1.1.99.1]	COG2303	BetA	Choline dehydrogenase or related flavoprotein	AG-426-C04_00544	2
CACGTJ010000006.1	24334	24870	-	AG-426-C04_00547	AG-426-C04	178	OG0000612	NA	NA	COG4341	NA	Predicted HD phosphohydrolase	AG-426-C04_00544	3
CACGTJ010000006.1	24874	25707	-	AG-426-C04_00548	AG-426-C04	277	OG0000927	NA	NA	COG2175	TauD	Taurine dioxygenase, alpha-ketoglutarate-dependent	AG-426-C04_00544	4
