contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CACHSC010000011.1	22645	23658	-	AG-430-G11_01106	AG-430-G11	337	OG0001236	K15894	UDP-N-acetylglucosamine 4,6-dehydratase/5-epimerase [EC:4.2.1.115 5.1.3.-]	COG0451	WcaG	Nucleoside-diphosphate-sugar epimerase	AG-430-G11_01111	-5
CACHSC010000011.1	23759	25003	+	AG-430-G11_01107	AG-430-G11	414	OG0002420	NA	NA	NA	NA	NA	AG-430-G11_01111	-4
CACHSC010000011.1	25003	26763	+	AG-430-G11_01108	AG-430-G11	586	OG0001064	K24846	ATP-binding cassette, subfamily B, bacterial PglK [EC:7.5.2.-]	COG1132	MdlB	ABC-type multidrug and LPS transport system, ATPase and permease component MsbA	AG-430-G11_01111	-3
CACHSC010000011.1	26768	27913	+	AG-430-G11_01109	AG-430-G11	381	OG0001456	NA	NA	COG4310	NA	Uncharacterized conserved protein, cotains an aminopeptidase-like domain	AG-430-G11_01111	-2
CACHSC010000011.1	27948	28118	+	AG-430-G11_01110	AG-430-G11	56	OG0001358	NA	NA	NA	NA	NA	AG-430-G11_01111	-1
CACHSC010000011.1	28110	29474	-	AG-430-G11_01111	AG-430-G11	454	OG0002477	NA	NA	COG1012	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	AG-430-G11_01111	0
CACHSC010000011.1	29476	30240	-	AG-430-G11_01112	AG-430-G11	254	OG0001633	K00662	aminoglycoside 3-N-acetyltransferase [EC:2.3.1.81]	COG2746	YokD	Aminoglycoside N3'-acetyltransferase	AG-430-G11_01111	1
CACBNI010000007.1	28976	29482	-	AG-899-N21_00833	AG-899-N21	168	OG0003661	K07794	putative tricarboxylic transport membrane protein	NA	NA	NA	AG-899-N21_00838	-5
CACBNI010000007.1	29524	30504	-	AG-899-N21_00834	AG-899-N21	326	OG0001163	K07795	putative tricarboxylic transport membrane protein	COG3181	TctC	Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC	AG-899-N21_00838	-4
CACBNI010000007.1	30689	31105	+	AG-899-N21_00835	AG-899-N21	138	OG0003662	K11477	glc operon protein GlcG	COG3193	EfgA	Formaldehyde-binding sensor protein EfgA, GlcG/HbpS family	AG-899-N21_00838	-3
CACBNI010000007.1	31105	32079	+	AG-899-N21_00836	AG-899-N21	324	OG0000013	NA	NA	COG0673	MviM	Predicted dehydrogenase	AG-899-N21_00838	-2
CACBNI010000007.1	32082	33596	-	AG-899-N21_00837	AG-899-N21	504	OG0000074	K26005	sulfoacetate-CoA ligase [EC:6.2.1.-]	COG0318	MenE	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	AG-899-N21_00838	-1
CACBNI010000007.1	33601	34953	-	AG-899-N21_00838	AG-899-N21	450	OG0002477	K15515	sulfoacetaldehyde dehydrogenase [EC:1.2.1.81]	COG1012	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	AG-899-N21_00838	0
CACBNI010000007.1	35195	35704	+	AG-899-N21_00839	AG-899-N21	169	OG0002852	NA	NA	COG1846	MarR	DNA-binding transcriptional regulator, MarR family	AG-899-N21_00838	1
CACBNI010000007.1	35707	35892	-	AG-899-N21_00840	AG-899-N21	61	OG0000014	NA	NA	NA	NA	NA	AG-899-N21_00838	2
CACBNI010000007.1	35968	37803	-	AG-899-N21_00841	AG-899-N21	611	OG0001054	K00612	carbamoyltransferase [EC:2.1.3.-]	COG2192	NA	Predicted carbamoyl transferase, NodU family	AG-899-N21_00838	3
CACBNI010000007.1	37800	38930	-	AG-899-N21_00842	AG-899-N21	376	OG0002590	NA	NA	NA	NA	NA	AG-899-N21_00838	4
CACBNI010000007.1	38981	39130	-	AG-899-N21_00843	AG-899-N21	49	OG0001277	NA	NA	NA	NA	NA	AG-899-N21_00838	5
CACFZE010000006.1	22033	22827	+	AG-909-F14_00942	AG-909-F14	264	OG0000897	NA	NA	NA	NA	NA	AG-909-F14_00947	-5
CACFZE010000006.1	22867	23337	+	AG-909-F14_00943	AG-909-F14	156	OG0000891	K00395	adenylylsulfate reductase, subunit B [EC:1.8.99.2]	COG1146	PreA	NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit	AG-909-F14_00947	-4
CACFZE010000006.1	23337	25196	+	AG-909-F14_00944	AG-909-F14	619	OG0000856	K00394	adenylylsulfate reductase, subunit A [EC:1.8.99.2]	COG1053	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	AG-909-F14_00947	-3
CACFZE010000006.1	25206	25556	+	AG-909-F14_00945	AG-909-F14	116	OG0000902	NA	NA	NA	NA	NA	AG-909-F14_00947	-2
CACFZE010000006.1	25790	26875	+	AG-909-F14_00946	AG-909-F14	361	OG0000240	K07090	uncharacterized protein	COG0730	TauE	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family	AG-909-F14_00947	-1
CACFZE010000006.1	26879	28276	+	AG-909-F14_00947	AG-909-F14	465	OG0002477	K15515	sulfoacetaldehyde dehydrogenase [EC:1.2.1.81]	COG1012	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	AG-909-F14_00947	0
CACFZE010000006.1	28297	29814	+	AG-909-F14_00948	AG-909-F14	505	OG0000074	K26005	sulfoacetate-CoA ligase [EC:6.2.1.-]	COG0318	MenE	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	AG-909-F14_00947	1
CACFZE010000006.1	29811	30788	-	AG-909-F14_00949	AG-909-F14	325	OG0000013	NA	NA	COG0673	MviM	Predicted dehydrogenase	AG-909-F14_00947	2
CACFZE010000006.1	30788	31204	-	AG-909-F14_00950	AG-909-F14	138	OG0003662	K11477	glc operon protein GlcG	COG3193	EfgA	Formaldehyde-binding sensor protein EfgA, GlcG/HbpS family	AG-909-F14_00947	3
CACFZE010000006.1	31287	31727	+	AG-909-F14_00951	AG-909-F14	146	OG0002431	NA	NA	COG1917	QdoI	Cupin domain protein related to quercetin dioxygenase	AG-909-F14_00947	4
CACFZE010000006.1	31729	33366	+	AG-909-F14_00952	AG-909-F14	545	OG0001396	NA	NA	COG0405	Ggt	Gamma-glutamyltranspeptidase	AG-909-F14_00947	5
CACPIG010000004.1	104821	105615	+	AG-912-I02_00987	AG-912-I02	264	OG0000897	NA	NA	NA	NA	NA	AG-912-I02_00992	-5
CACPIG010000004.1	105655	106125	+	AG-912-I02_00988	AG-912-I02	156	OG0000891	K00395	adenylylsulfate reductase, subunit B [EC:1.8.99.2]	COG1146	PreA	NAD-dependent dihydropyrimidine dehydrogenase, PreA subunit	AG-912-I02_00992	-4
CACPIG010000004.1	106125	107984	+	AG-912-I02_00989	AG-912-I02	619	OG0000856	K00394	adenylylsulfate reductase, subunit A [EC:1.8.99.2]	COG1053	SdhA	Succinate dehydrogenase/fumarate reductase, flavoprotein subunit	AG-912-I02_00992	-3
CACPIG010000004.1	107994	108344	+	AG-912-I02_00990	AG-912-I02	116	OG0000902	NA	NA	NA	NA	NA	AG-912-I02_00992	-2
CACPIG010000004.1	108578	109663	+	AG-912-I02_00991	AG-912-I02	361	OG0000240	K07090	uncharacterized protein	COG0730	TauE	Sulfite exporter TauE/SafE/YfcA and related permeases, UPF0721 family	AG-912-I02_00992	-1
CACPIG010000004.1	109667	111064	+	AG-912-I02_00992	AG-912-I02	465	OG0002477	K15515	sulfoacetaldehyde dehydrogenase [EC:1.2.1.81]	COG1012	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	AG-912-I02_00992	0
CACPIG010000004.1	111085	112602	+	AG-912-I02_00993	AG-912-I02	505	OG0000074	K26005	sulfoacetate-CoA ligase [EC:6.2.1.-]	COG0318	MenE	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	AG-912-I02_00992	1
CACPIG010000004.1	112599	113291	-	AG-912-I02_00994	AG-912-I02	230	OG0000013	NA	NA	COG0673	MviM	Predicted dehydrogenase	AG-912-I02_00992	2
CACOCP010000002.1	98337	99695	-	AH-287-O09_00381	AH-287-O09	452	OG0004261	NA	NA	NA	NA	NA	AH-287-O09_00386	-5
CACOCP010000002.1	99697	99876	-	AH-287-O09_00382	AH-287-O09	59	OG0003109	NA	NA	NA	NA	NA	AH-287-O09_00386	-4
CACOCP010000002.1	99866	101170	-	AH-287-O09_00383	AH-287-O09	434	OG0002162	NA	NA	COG2244	RfbX	Membrane protein involved in the export of O-antigen and teichoic acid	AH-287-O09_00386	-3
CACOCP010000002.1	101236	102333	-	AH-287-O09_00384	AH-287-O09	365	OG0000093	K13017	UDP-2-acetamido-2-deoxy-ribo-hexuluronate aminotransferase [EC:2.6.1.98]	COG0399	WecE	dTDP-4-amino-4,6-dideoxygalactose transaminase	AH-287-O09_00386	-2
CACOCP010000002.1	102336	102935	-	AH-287-O09_00385	AH-287-O09	199	OG0000120	K13018	UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate N-acetyltransferase [EC:2.3.1.201]	COG0110	WbbJ	O-acetyltransferase, isoleucine patch superfamily, LacA/YvoF/WbbJ family	AH-287-O09_00386	-1
CACOCP010000002.1	102947	104356	-	AH-287-O09_00386	AH-287-O09	469	OG0002477	NA	NA	COG1012	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	AH-287-O09_00386	0
CACOCP010000002.1	104496	105578	+	AH-287-O09_00387	AH-287-O09	360	OG0001211	NA	NA	COG0381	WecB	UDP-N-acetylglucosamine 2-epimerase	AH-287-O09_00386	1
CACOCP010000002.1	105594	106775	-	AH-287-O09_00388	AH-287-O09	393	OG0000093	NA	NA	COG0399	WecE	dTDP-4-amino-4,6-dideoxygalactose transaminase	AH-287-O09_00386	2
CACOCP010000002.1	106782	108344	-	AH-287-O09_00389	AH-287-O09	520	OG0003696	NA	NA	NA	NA	NA	AH-287-O09_00386	3
CACOCP010000002.1	108347	109645	-	AH-287-O09_00390	AH-287-O09	432	OG0003109	NA	NA	NA	NA	NA	AH-287-O09_00386	4
