contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CVSB01000045.1	68526	69470	+	AAA795-A20_00889	AAA795-A20	314	OG0000020	K02377	GDP-L-fucose synthase [EC:1.1.1.271]	COG0451	WcaG	Nucleoside-diphosphate-sugar epimerase	AAA795-A20_00894	-5
CVSB01000045.1	69479	70159	-	AAA795-A20_00890	AAA795-A20	226	OG0000043	NA	NA	COG0463	WcaA	Glycosyltransferase involved in cell wall bisynthesis	AAA795-A20_00894	-4
CVSB01000045.1	70168	71421	-	AAA795-A20_00891	AAA795-A20	417	OG0001354	NA	NA	NA	NA	NA	AAA795-A20_00894	-3
CVSB01000045.1	71484	71579	+	AAA795-A20_00892	AAA795-A20	31	OG0003820	NA	NA	NA	NA	NA	AAA795-A20_00894	-2
CVSB01000045.1	71604	72380	+	AAA795-A20_00893	AAA795-A20	258	OG0001392	NA	NA	COG0463	WcaA	Glycosyltransferase involved in cell wall bisynthesis	AAA795-A20_00894	-1
CVSB01000045.1	72416	73300	+	AAA795-A20_00894	AAA795-A20	294	OG0000075	NA	NA	COG0451	WcaG	Nucleoside-diphosphate-sugar epimerase	AAA795-A20_00894	0
CVSB01000045.1	73492	73617	+	AAA795-A20_00896	AAA795-A20	41	OG0001151	K02919	large subunit ribosomal protein L36	COG0257	RpmJ	Ribosomal protein L36	AAA795-A20_00894	1
CVSB01000045.1	73743	74831	+	AAA795-A20_00897	AAA795-A20	362	OG0000352	K00324	H+-translocating NAD(P) transhydrogenase subunit alpha [EC:1.6.1.2 7.1.1.1]	COG3288	PntA	NAD/NADP transhydrogenase alpha subunit	AAA795-A20_00894	2
CVSB01000045.1	74835	75143	+	AAA795-A20_00898	AAA795-A20	102	OG0000454	NA	NA	COG3288	PntA	NAD/NADP transhydrogenase alpha subunit	AAA795-A20_00894	3
CVSB01000045.1	75146	76543	+	AAA795-A20_00899	AAA795-A20	465	OG0000436	K00325	H+-translocating NAD(P) transhydrogenase subunit beta [EC:1.6.1.2 7.1.1.1]	COG1282	PntB	NAD/NADP transhydrogenase beta subunit	AAA795-A20_00894	4
CVSB01000045.1	76552	77253	+	AAA795-A20_00900	AAA795-A20	233	OG0000261	NA	NA	COG0176	TalA	Transaldolase/fructose-6-phosphate aldolase	AAA795-A20_00894	5
