contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CACNAR010000003.1	93054	93956	+	AG-892-K05_00575	AG-892-K05	300	OG0000791	NA	NA	COG0679	YfdV	Predicted permease, AEC (auxin efflux carrier) family	AG-892-K05_00580	-5
CACNAR010000003.1	93975	94820	+	AG-892-K05_00576	AG-892-K05	281	OG0000003	K15270	S-adenosylmethionine uptake transporter	COG0697	EamA	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	AG-892-K05_00580	-4
CACNAR010000003.1	95287	95565	-	AG-892-K05_00577	AG-892-K05	92	OG0000712	NA	NA	COG0350	AdaB	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)	AG-892-K05_00580	-3
CACNAR010000003.1	95849	96022	-	AG-892-K05_00578	AG-892-K05	57	OG0001251	NA	NA	NA	NA	NA	AG-892-K05_00580	-2
CACNAR010000003.1	96104	97057	+	AG-892-K05_00579	AG-892-K05	317	OG0000428	NA	NA	COG4974	XerD	Site-specific tyrosine recombinase XerD	AG-892-K05_00580	-1
CACNAR010000003.1	97047	97763	-	AG-892-K05_00580	AG-892-K05	238	OG0003623	NA	NA	NA	NA	NA	AG-892-K05_00580	0
CACNAR010000003.1	97769	99889	-	AG-892-K05_00581	AG-892-K05	706	OG0000777	K06320	spore maturation protein CgeB	COG4641	NA	Spore maturation protein CgeB	AG-892-K05_00580	1
CACNAR010000003.1	99870	100133	-	AG-892-K05_00582	AG-892-K05	87	OG0000885	K07461	putative endonuclease	COG2827	YhbQ	Predicted endonuclease, GIY-YIG superfamily	AG-892-K05_00580	2
CACNAR010000003.1	100285	101226	-	AG-892-K05_00584	AG-892-K05	313	OG0000659	NA	NA	COG1494	GlpX	Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein	AG-892-K05_00580	3
CACNAR010000003.1	101226	102218	-	AG-892-K05_00585	AG-892-K05	330	OG0000639	K17938	peptide/bleomycin uptake transporter	COG1133	SbmA	Peptide antibiotic transporter SbmA/BacA, ABC-type permease family	AG-892-K05_00580	4
CACNAR010000003.1	102219	102500	-	AG-892-K05_00586	AG-892-K05	93	OG0000809	K03937	NADH dehydrogenase (ubiquinone) Fe-S protein 4	NA	NA	NA	AG-892-K05_00580	5
CACCBF010000002.1	90742	91644	+	AG-900-K21_00375	AG-900-K21	300	OG0000791	NA	NA	COG0679	YfdV	Predicted permease, AEC (auxin efflux carrier) family	AG-900-K21_00380	-5
CACCBF010000002.1	91663	92508	+	AG-900-K21_00376	AG-900-K21	281	OG0000003	K15270	S-adenosylmethionine uptake transporter	COG0697	EamA	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	AG-900-K21_00380	-4
CACCBF010000002.1	92936	93214	-	AG-900-K21_00377	AG-900-K21	92	OG0000712	NA	NA	COG0350	AdaB	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)	AG-900-K21_00380	-3
CACCBF010000002.1	93497	93670	-	AG-900-K21_00378	AG-900-K21	57	OG0001251	NA	NA	NA	NA	NA	AG-900-K21_00380	-2
CACCBF010000002.1	93751	94704	+	AG-900-K21_00379	AG-900-K21	317	OG0000428	NA	NA	COG4974	XerD	Site-specific tyrosine recombinase XerD	AG-900-K21_00380	-1
CACCBF010000002.1	94694	95410	-	AG-900-K21_00380	AG-900-K21	238	OG0003623	NA	NA	NA	NA	NA	AG-900-K21_00380	0
CACCBF010000002.1	95416	97536	-	AG-900-K21_00381	AG-900-K21	706	OG0000777	K06320	spore maturation protein CgeB	COG4641	NA	Spore maturation protein CgeB	AG-900-K21_00380	1
CACCBF010000002.1	97517	97780	-	AG-900-K21_00382	AG-900-K21	87	OG0000885	K07461	putative endonuclease	COG2827	YhbQ	Predicted endonuclease, GIY-YIG superfamily	AG-900-K21_00380	2
CACCBF010000002.1	97935	98876	-	AG-900-K21_00384	AG-900-K21	313	OG0000659	NA	NA	COG1494	GlpX	Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein	AG-900-K21_00380	3
CACCBF010000002.1	98876	99868	-	AG-900-K21_00385	AG-900-K21	330	OG0000639	K17938	peptide/bleomycin uptake transporter	COG1133	SbmA	Peptide antibiotic transporter SbmA/BacA, ABC-type permease family	AG-900-K21_00380	4
CACCBF010000002.1	99869	100150	-	AG-900-K21_00386	AG-900-K21	93	OG0000809	K03937	NADH dehydrogenase (ubiquinone) Fe-S protein 4	NA	NA	NA	AG-900-K21_00380	5
CACHSE010000001.1	141413	141694	+	AG-912-C08_00157	AG-912-C08	93	OG0000809	K03937	NADH dehydrogenase (ubiquinone) Fe-S protein 4	NA	NA	NA	AG-912-C08_00163	-5
CACHSE010000001.1	141695	142687	+	AG-912-C08_00158	AG-912-C08	330	OG0000639	K17938	peptide/bleomycin uptake transporter	COG1133	SbmA	Peptide antibiotic transporter SbmA/BacA, ABC-type permease family	AG-912-C08_00163	-4
CACHSE010000001.1	142687	143628	+	AG-912-C08_00159	AG-912-C08	313	OG0000659	NA	NA	COG1494	GlpX	Fructose-1,6-bisphosphatase/sedoheptulose 1,7-bisphosphatase or related protein	AG-912-C08_00163	-3
CACHSE010000001.1	143780	144043	+	AG-912-C08_00161	AG-912-C08	87	OG0000885	K07461	putative endonuclease	COG2827	YhbQ	Predicted endonuclease, GIY-YIG superfamily	AG-912-C08_00163	-2
CACHSE010000001.1	144024	146144	+	AG-912-C08_00162	AG-912-C08	706	OG0000777	K06320	spore maturation protein CgeB	COG4641	NA	Spore maturation protein CgeB	AG-912-C08_00163	-1
CACHSE010000001.1	146150	146866	+	AG-912-C08_00163	AG-912-C08	238	OG0003623	NA	NA	NA	NA	NA	AG-912-C08_00163	0
CACHSE010000001.1	146856	147809	-	AG-912-C08_00164	AG-912-C08	317	OG0000428	NA	NA	COG4974	XerD	Site-specific tyrosine recombinase XerD	AG-912-C08_00163	1
CACHSE010000001.1	147891	148064	+	AG-912-C08_00165	AG-912-C08	57	OG0001251	NA	NA	NA	NA	NA	AG-912-C08_00163	2
CACHSE010000001.1	148348	148626	+	AG-912-C08_00166	AG-912-C08	92	OG0000712	NA	NA	COG0350	AdaB	DNA repair enzyme Ada (O6-methylguanine-DNA--protein-cysteine methyltransferase)	AG-912-C08_00163	3
CACHSE010000001.1	149093	149938	-	AG-912-C08_00167	AG-912-C08	281	OG0000003	K15270	S-adenosylmethionine uptake transporter	COG0697	EamA	Amino acid export permease, drug/metabolite transporter (DMT) superfamily	AG-912-C08_00163	4
CACHSE010000001.1	149957	150859	-	AG-912-C08_00168	AG-912-C08	300	OG0000791	NA	NA	COG0679	YfdV	Predicted permease, AEC (auxin efflux carrier) family	AG-912-C08_00163	5
