contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CACIQL010000006.1	5584	6498	-	AG-439-D15_00621	AG-439-D15	304	OG0001189	NA	NA	COG0463	WcaA	Glycosyltransferase involved in cell wall bisynthesis	AG-439-D15_00626	-5
CACIQL010000006.1	6625	7434	+	AG-439-D15_00622	AG-439-D15	269	NA	NA	NA	NA	NA	NA	AG-439-D15_00626	-4
CACIQL010000006.1	7459	9231	+	AG-439-D15_00623	AG-439-D15	590	OG0001064	NA	NA	COG2274	SunT	ABC-type bacteriocin/lantibiotic exporters, contain an N-terminal double-glycine peptidase domain	AG-439-D15_00626	-3
CACIQL010000006.1	9242	10102	+	AG-439-D15_00624	AG-439-D15	286	OG0002332	NA	NA	COG5285	PhyH	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	AG-439-D15_00626	-2
CACIQL010000006.1	10103	10867	+	AG-439-D15_00625	AG-439-D15	254	OG0001454	NA	NA	COG4627	NA	Predicted SAM-depedendent methyltransferase	AG-439-D15_00626	-1
CACIQL010000006.1	10872	12197	+	AG-439-D15_00626	AG-439-D15	441	OG0003264	NA	NA	NA	NA	NA	AG-439-D15_00626	0
CACIQL010000006.1	12186	13022	-	AG-439-D15_00627	AG-439-D15	278	OG0000007	NA	NA	COG1028	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	AG-439-D15_00626	1
CACIQL010000006.1	12997	13758	-	AG-439-D15_00628	AG-439-D15	253	OG0000007	NA	NA	COG1028	FabG	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family	AG-439-D15_00626	2
CACIQL010000006.1	13751	14590	-	AG-439-D15_00629	AG-439-D15	279	OG0001709	NA	NA	COG1082	YcjR	Sugar phosphate isomerase/epimerase	AG-439-D15_00626	3
CACIQL010000006.1	14598	15035	-	AG-439-D15_00630	AG-439-D15	145	OG0001131	NA	NA	COG0346	GloA	Glyoxalase, catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	AG-439-D15_00626	4
CACIQL010000006.1	15028	16413	-	AG-439-D15_00631	AG-439-D15	461	OG0000055	NA	NA	COG0160	ArgD	Acetylornithine aminotransferase/4-aminobutyrate aminotransferase/amino acid racemase	AG-439-D15_00626	5
CACKMS010000016.1	10529	11245	+	AG-917-E05_01167	AG-917-E05	238	OG0000045	NA	NA	NA	NA	NA	AG-917-E05_01172	-5
CACKMS010000016.1	11233	12495	-	AG-917-E05_01168	AG-917-E05	420	OG0002628	NA	NA	NA	NA	NA	AG-917-E05_01172	-4
CACKMS010000016.1	12495	13652	-	AG-917-E05_01169	AG-917-E05	385	OG0000010	NA	NA	COG0438	RfaB	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	AG-917-E05_01172	-3
CACKMS010000016.1	13712	14887	+	AG-917-E05_01170	AG-917-E05	391	OG0001175	NA	NA	COG0438	RfaB	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	AG-917-E05_01172	-2
CACKMS010000016.1	14902	16197	+	AG-917-E05_01171	AG-917-E05	431	OG0002426	NA	NA	COG2244	RfbX	Membrane protein involved in the export of O-antigen and teichoic acid	AG-917-E05_01172	-1
CACKMS010000016.1	16202	17545	+	AG-917-E05_01172	AG-917-E05	447	OG0003264	NA	NA	COG3307	RfaL	O-antigen ligase	AG-917-E05_01172	0
CACKMS010000016.1	17561	18298	-	AG-917-E05_01173	AG-917-E05	245	OG0000008	NA	NA	COG2227	UbiG	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	AG-917-E05_01172	1
CACKMS010000016.1	18429	19166	+	AG-917-E05_01174	AG-917-E05	245	OG0001552	NA	NA	COG1922	WecG	UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family	AG-917-E05_01172	2
CACKMS010000016.1	19168	20181	+	AG-917-E05_01175	AG-917-E05	337	OG0000020	K10046	GDP-D-mannose 3', 5'-epimerase [EC:5.1.3.18 5.1.3.-]	COG0451	WcaG	Nucleoside-diphosphate-sugar epimerase	AG-917-E05_01172	3
CP159818.1	460453	461187	+	Uisw_114_00543	Uisw_114	244	OG0000045	NA	NA	NA	NA	NA	Uisw_114_00548	-5
CP159818.1	461184	462197	+	Uisw_114_00544	Uisw_114	337	OG0001104	NA	NA	COG0438	RfaB	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	Uisw_114_00548	-4
CP159818.1	462190	463500	+	Uisw_114_00545	Uisw_114	436	OG0002426	NA	NA	COG2244	RfbX	Membrane protein involved in the export of O-antigen and teichoic acid	Uisw_114_00548	-3
CP159818.1	463503	463697	+	Uisw_114_00546	Uisw_114	64	OG0001667	NA	NA	NA	NA	NA	Uisw_114_00548	-2
CP159818.1	463871	464665	+	Uisw_114_00547	Uisw_114	264	OG0001175	NA	NA	COG0438	RfaB	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	Uisw_114_00548	-1
CP159818.1	464675	466057	+	Uisw_114_00548	Uisw_114	460	OG0003264	NA	NA	NA	NA	NA	Uisw_114_00548	0
CP159818.1	466067	466804	+	Uisw_114_00549	Uisw_114	245	OG0001552	NA	NA	COG1922	WecG	UDP-N-acetyl-D-mannosaminuronic acid transferase, WecB/TagA/CpsF family	Uisw_114_00548	1
CP159818.1	466834	467307	-	Uisw_114_00550	Uisw_114	157	OG0002159	NA	NA	NA	NA	NA	Uisw_114_00548	2
CP159818.1	467771	470611	+	Uisw_114_00551	Uisw_114	946	OG0001177	NA	NA	COG4254	NA	Uncharacterized peptidoglycan binding protein, contains LysM and FecR  domains	Uisw_114_00548	3
CP159818.1	470634	471974	+	Uisw_114_00552	Uisw_114	446	OG0001944	NA	NA	COG3307	RfaL	O-antigen ligase	Uisw_114_00548	4
