contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CACJQI010000009.1	21149	22501	-	AG-447-M05_01129	AG-447-M05	450	OG0002544	NA	NA	COG1793	LigC	ATP-dependent DNA ligase	AG-447-M05_01134	-5
CACJQI010000009.1	22520	22885	+	AG-447-M05_01130	AG-447-M05	121	OG0003569	NA	NA	NA	NA	NA	AG-447-M05_01134	-4
CACJQI010000009.1	22912	24432	+	AG-447-M05_01131	AG-447-M05	506	OG0002360	NA	NA	COG2251	NA	Predicted nuclease, RecB family	AG-447-M05_01134	-3
CACJQI010000009.1	24693	25292	+	AG-447-M05_01132	AG-447-M05	199	OG0002846	NA	NA	NA	NA	NA	AG-447-M05_01134	-2
CACJQI010000009.1	25292	25465	+	AG-447-M05_01133	AG-447-M05	57	OG0001772	NA	NA	NA	NA	NA	AG-447-M05_01134	-1
CACJQI010000009.1	25503	25994	+	AG-447-M05_01134	AG-447-M05	163	OG0003570	NA	NA	NA	NA	NA	AG-447-M05_01134	0
CACJQI010000009.1	26235	26987	-	AG-447-M05_01136	AG-447-M05	250	OG0000786	NA	NA	COG0566	SpoU	tRNA G18 (ribose-2'-O)-methylase SpoU	AG-447-M05_01134	1
CACJQI010000009.1	27357	28547	+	AG-447-M05_01139	AG-447-M05	396	OG0000491	K02358	elongation factor Tu	COG0050	TufA	Translation elongation factor EF-Tu, a GTPase	AG-447-M05_01134	2
CACJQI010000009.1	28650	28841	+	AG-447-M05_01141	AG-447-M05	63	OG0001138	K03073	preprotein translocase subunit SecE	COG0690	SecE	Preprotein translocase subunit SecE	AG-447-M05_01134	3
CACJQI010000009.1	28841	29371	+	AG-447-M05_01142	AG-447-M05	176	OG0000601	K02601	transcription termination/antitermination protein NusG	COG0250	NusG	Transcription termination/antitermination protein NusG	AG-447-M05_01134	4
CACJQI010000009.1	29371	29796	+	AG-447-M05_01143	AG-447-M05	141	OG0000619	K02867	large subunit ribosomal protein L11	COG0080	RplK	Ribosomal protein L11	AG-447-M05_01134	5
CACPMO010000002.1	174038	175681	+	AG-914-L20_00398	AG-914-L20	547	OG0001142	NA	NA	NA	NA	NA	AG-914-L20_00404	-5
CACPMO010000002.1	175830	176927	+	AG-914-L20_00400	AG-914-L20	365	OG0000010	NA	NA	COG0438	RfaB	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	AG-914-L20_00404	-4
CACPMO010000002.1	177009	180374	+	AG-914-L20_00401	AG-914-L20	1121	OG0001280	NA	NA	COG0553	HepA	Superfamily II DNA or RNA helicase, SNF2 family	AG-914-L20_00404	-3
CACPMO010000002.1	180375	183476	+	AG-914-L20_00402	AG-914-L20	1033	OG0001934	K07317	adenine-specific DNA-methyltransferase [EC:2.1.1.72]	COG1002	YeeA	Type II restriction/modification system, endonuclease and methylase domains	AG-914-L20_00404	-2
CACPMO010000002.1	183805	184359	+	AG-914-L20_00403	AG-914-L20	184	OG0003025	NA	NA	NA	NA	NA	AG-914-L20_00404	-1
CACPMO010000002.1	184420	184914	+	AG-914-L20_00404	AG-914-L20	164	OG0003570	NA	NA	NA	NA	NA	AG-914-L20_00404	0
CACPMO010000002.1	185143	185883	-	AG-914-L20_00406	AG-914-L20	246	OG0000786	K03218	23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]	COG0566	SpoU	tRNA G18 (ribose-2'-O)-methylase SpoU	AG-914-L20_00404	1
CACPMO010000002.1	186249	187439	+	AG-914-L20_00409	AG-914-L20	396	OG0000491	K02358	elongation factor Tu	COG0050	TufA	Translation elongation factor EF-Tu, a GTPase	AG-914-L20_00404	2
CACPMO010000002.1	187725	188255	+	AG-914-L20_00411	AG-914-L20	176	OG0000601	K02601	transcription termination/antitermination protein NusG	COG0250	NusG	Transcription termination/antitermination protein NusG	AG-914-L20_00404	3
CACPMO010000002.1	188255	188683	+	AG-914-L20_00412	AG-914-L20	142	OG0000619	K02867	large subunit ribosomal protein L11	COG0080	RplK	Ribosomal protein L11	AG-914-L20_00404	4
CACNXC010000013.1	5	133	+	AH-287-G05_01116	AH-287-G05	42	OG0001530	NA	NA	NA	NA	NA	AH-287-G05_01119	-3
CACNXC010000013.1	196	1236	-	AH-287-G05_01117	AH-287-G05	346	OG0001175	NA	NA	COG0438	RfaB	Lipopolysaccharide 1,6-galactosyltransferase, GT1 family	AH-287-G05_01119	-2
CACNXC010000013.1	1432	2130	+	AH-287-G05_01118	AH-287-G05	232	OG0002880	NA	NA	NA	NA	NA	AH-287-G05_01119	-1
CACNXC010000013.1	2165	2659	+	AH-287-G05_01119	AH-287-G05	164	OG0003570	NA	NA	NA	NA	NA	AH-287-G05_01119	0
CACNXC010000013.1	2957	6100	+	AH-287-G05_01120	AH-287-G05	1047	OG0001696	NA	NA	COG4889	NA	Predicted helicase	AH-287-G05_01119	1
CACNXC010000013.1	6103	6489	+	AH-287-G05_01121	AH-287-G05	128	OG0004117	NA	NA	NA	NA	NA	AH-287-G05_01119	2
CACNXC010000013.1	6745	7488	-	AH-287-G05_01123	AH-287-G05	247	OG0000786	K03218	23S rRNA (guanosine2251-2'-O)-methyltransferase [EC:2.1.1.185]	COG0566	SpoU	tRNA G18 (ribose-2'-O)-methylase SpoU	AH-287-G05_01119	3
CACNXC010000013.1	7868	9058	+	AH-287-G05_01126	AH-287-G05	396	OG0000491	K02358	elongation factor Tu	COG0050	TufA	Translation elongation factor EF-Tu, a GTPase	AH-287-G05_01119	4
CACNXC010000013.1	9155	9352	+	AH-287-G05_01128	AH-287-G05	65	OG0001138	K03073	preprotein translocase subunit SecE	COG0690	SecE	Preprotein translocase subunit SecE	AH-287-G05_01119	5
