contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CABWYD010000015.1	423	1292	-	AG-313-A04_01016	AG-313-A04	289	OG0000345	K01714	4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]	COG0329	DapA	4-hydroxy-tetrahydrodipicolinate synthase/N-acetylneuraminate lyase	AG-313-A04_01020	-3
CABWYD010000015.1	1324	3582	+	AG-313-A04_01017	AG-313-A04	752	OG0000514	K08309	soluble lytic murein transglycosylase [EC:4.2.2.-]	COG0741	MltE	Soluble lytic murein transglycosylase or regulatory protein ( may contain LysM/invasin domain), , includes type III secretion system proteins IagB/IpgF/YsaH	AG-313-A04_01020	-2
CABWYD010000015.1	3731	3991	-	AG-313-A04_01019	AG-313-A04	86	OG0001471	NA	NA	NA	NA	NA	AG-313-A04_01020	-1
CABWYD010000015.1	3995	4603	-	AG-313-A04_01020	AG-313-A04	202	OG0001404	NA	NA	NA	NA	NA	AG-313-A04_01020	0
CABXTN010000012.1	10503	11240	+	AG-325-C21_00789	AG-325-C21	245	OG0000662	NA	NA	COG0171	NadE	NH3-dependent NAD+ synthetase	AG-325-C21_00794	-5
CABXTN010000012.1	11286	12647	+	AG-325-C21_00790	AG-325-C21	453	OG0000584	K01883	cysteinyl-tRNA synthetase [EC:6.1.1.16]	COG0215	CysS	Cysteinyl-tRNA synthetase	AG-325-C21_00794	-4
CABXTN010000012.1	12644	14245	+	AG-325-C21_00791	AG-325-C21	533	OG0000012	K01649	2-isopropylmalate synthase [EC:2.3.3.13]	COG0119	LeuA	Isopropylmalate/homocitrate/citramalate synthases	AG-325-C21_00794	-3
CABXTN010000012.1	14245	14967	+	AG-325-C21_00792	AG-325-C21	240	OG0000685	K02533	tRNA/rRNA methyltransferase [EC:2.1.1.-]	COG0565	TrmJ	tRNA C32,U32 (ribose-2'-O)-methylase TrmJ or a related methyltransferase	AG-325-C21_00794	-2
CABXTN010000012.1	14996	15613	+	AG-325-C21_00793	AG-325-C21	205	OG0000613	K02986	small subunit ribosomal protein S4	COG0522	RpsD	Ribosomal protein S4 or related protein	AG-325-C21_00794	-1
CABXTN010000012.1	15647	17233	+	AG-325-C21_00794	AG-325-C21	528	OG0001404	NA	NA	COG1807	ArnT	PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA	AG-325-C21_00794	0
CABXTN010000012.1	17230	17916	-	AG-325-C21_00795	AG-325-C21	228	OG0000008	NA	NA	COG2227	UbiG	2-polyprenyl-3-methyl-5-hydroxy-6-metoxy-1,4-benzoquinol methylase	AG-325-C21_00794	1
CABXTN010000012.1	17977	18672	-	AG-325-C21_00796	AG-325-C21	231	OG0001203	NA	NA	NA	NA	NA	AG-325-C21_00794	2
CABXTN010000012.1	18669	18932	-	AG-325-C21_00797	AG-325-C21	87	OG0001471	NA	NA	NA	NA	NA	AG-325-C21_00794	3
CABXTN010000012.1	18929	19255	-	AG-325-C21_00798	AG-325-C21	108	OG0000539	K07390	monothiol glutaredoxin	COG0278	GrxD	Glutaredoxin-related protein	AG-325-C21_00794	4
CABXTN010000012.1	19239	19484	-	AG-325-C21_00799	AG-325-C21	81	OG0000763	NA	NA	COG5007	IbaG	Acid stress protein IbaG/YrbA, BolA-like family	AG-325-C21_00794	5
CABXUW010000005.1	58451	60631	+	AG-325-E13_00655	AG-325-E13	726	OG0000422	K23269	phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]	COG0046	PurL1	Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain	AG-325-E13_00660	-5
