contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CACBMB010000003.1	38738	39007	+	AG-359-D09_00435	AG-359-D09	89	OG0001254	NA	NA	COG1977	MoaD	Molybdopterin synthase sulfur carrier subunit MoaD	AG-359-D09_00440	-5
CACBMB010000003.1	39007	39459	+	AG-359-D09_00436	AG-359-D09	150	OG0001248	K03635	molybdopterin synthase catalytic subunit [EC:2.8.1.12]	COG0314	MoaE	Molybdopterin synthase catalytic subunit MoaE	AG-359-D09_00440	-4
CACBMB010000003.1	39446	40345	+	AG-359-D09_00437	AG-359-D09	299	OG0001295	K07147	methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]	COG2041	MsrP	Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases	AG-359-D09_00440	-3
CACBMB010000003.1	40352	40933	+	AG-359-D09_00438	AG-359-D09	193	OG0001291	K17247	methionine sulfoxide reductase heme-binding subunit	COG2717	MsrQ	Heme-binding membrane subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases	AG-359-D09_00440	-2
CACBMB010000003.1	40916	41491	-	AG-359-D09_00439	AG-359-D09	191	OG0000098	K07141	molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]	COG2068	MocA	CTP:molybdopterin cytidylyltransferase MocA	AG-359-D09_00440	-1
CACBMB010000003.1	41497	41799	-	AG-359-D09_00440	AG-359-D09	100	OG0003470	NA	NA	COG0739	NlpD	Murein endopeptidase or hydrolase activator MepM/NlpD, contains LysM domain	AG-359-D09_00440	0
CACBMB010000003.1	41913	42218	-	AG-359-D09_00441	AG-359-D09	101	NA	NA	NA	NA	NA	NA	AG-359-D09_00440	1
CACBMB010000003.1	42215	42898	-	AG-359-D09_00442	AG-359-D09	227	OG0001414	K07402	xanthine dehydrogenase accessory factor	COG1975	XdhC	Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family	AG-359-D09_00440	2
CACBMB010000003.1	42898	43227	-	AG-359-D09_00443	AG-359-D09	109	OG0001405	K07402	xanthine dehydrogenase accessory factor	COG1975	XdhC	Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family	AG-359-D09_00440	3
CACBMB010000003.1	43249	44034	-	AG-359-D09_00444	AG-359-D09	261	OG0001506	NA	NA	COG1319	CutB	Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit	AG-359-D09_00440	4
CACBMB010000003.1	44044	46422	-	AG-359-D09_00445	AG-359-D09	792	OG0001320	K03520	aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]	COG1529	CoxL	Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit	AG-359-D09_00440	5
HIMB1527-00000000002	36865	37326	+	HIMB1527_00648	HIMB1527	153	OG0001336	K03518	aerobic carbon-monoxide dehydrogenase small subunit [EC:1.2.5.3]	COG2080	CutS	Aldehyde, CO, or xanthine dehydrogenase, Fe-S subunit, CoxS/CutS family	HIMB1527_00653	-5
HIMB1527-00000000002	37344	39722	+	HIMB1527_00649	HIMB1527	792	OG0001320	K03520	aerobic carbon-monoxide dehydrogenase large subunit [EC:1.2.5.3]	COG1529	CoxL	Aldehyde, CO or xanthine dehydrogenase, Mo-binding subunit	HIMB1527_00653	-4
HIMB1527-00000000002	39736	40521	+	HIMB1527_00650	HIMB1527	261	OG0001506	NA	NA	COG1319	CutB	Aldehyde, CO, or xanthine dehydrogenase, FAD-binding subunit	HIMB1527_00653	-3
HIMB1527-00000000002	40543	40875	+	HIMB1527_00651	HIMB1527	110	OG0001405	K07402	xanthine dehydrogenase accessory factor	COG1975	XdhC	Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family	HIMB1527_00653	-2
HIMB1527-00000000002	40872	41552	+	HIMB1527_00652	HIMB1527	226	OG0001414	K07402	xanthine dehydrogenase accessory factor	COG1975	XdhC	Molybdoenzyme maturation factor PaoD (Mo cofactor insertion), XdhC/CoxF family	HIMB1527_00653	-1
HIMB1527-00000000002	41549	42265	+	HIMB1527_00653	HIMB1527	238	OG0003470	NA	NA	COG0739	NlpD	Murein endopeptidase or hydrolase activator MepM/NlpD, contains LysM domain	HIMB1527_00653	0
HIMB1527-00000000002	42266	42835	+	HIMB1527_00654	HIMB1527	189	OG0000098	K07141	molybdenum cofactor cytidylyltransferase [EC:2.7.7.76]	COG2068	MocA	CTP:molybdopterin cytidylyltransferase MocA	HIMB1527_00653	1
HIMB1527-00000000002	42821	43405	-	HIMB1527_00655	HIMB1527	194	OG0001291	K17247	methionine sulfoxide reductase heme-binding subunit	COG2717	MsrQ	Heme-binding membrane subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases	HIMB1527_00653	2
HIMB1527-00000000002	43405	44313	-	HIMB1527_00656	HIMB1527	302	OG0001295	K07147	methionine sulfoxide reductase catalytic subunit [EC:1.8.-.-]	COG2041	MsrP	Molybdopterin-dependent catalytic subunit of periplasmic DMSO/TMAO and protein-methionine-sulfoxide reductases	HIMB1527_00653	3
HIMB1527-00000000002	44360	45190	+	HIMB1527_00657	HIMB1527	276	OG0001105	NA	NA	COG5285	PhyH	Ectoine hydroxylase-related dioxygenase, phytanoyl-CoA dioxygenase (PhyH) family	HIMB1527_00653	4
HIMB1527-00000000002	45214	45537	-	HIMB1527_00658	HIMB1527	107	OG0000490	NA	NA	COG4274	NA	Uncharacterized conserved protein, contains GYD domain	HIMB1527_00653	5
CP159818.1	826901	827110	-	Uisw_114_00995	Uisw_114	69	OG0000816	NA	NA	NA	NA	NA	Uisw_114_01001	-5
CP159818.1	827200	827565	-	Uisw_114_00996	Uisw_114	121	OG0000816	NA	NA	COG1216	WcaE	Glycosyltransferase, GT2 family	Uisw_114_01001	-4
CP159818.1	827508	827759	-	Uisw_114_00997	Uisw_114	83	OG0000816	NA	NA	NA	NA	NA	Uisw_114_01001	-3
CP159818.1	827812	828831	+	Uisw_114_00998	Uisw_114	339	OG0001202	NA	NA	COG1088	RfbB	dTDP-D-glucose 4,6-dehydratase	Uisw_114_01001	-2
CP159818.1	828828	829694	+	Uisw_114_00999	Uisw_114	288	OG0001160	K00973	glucose-1-phosphate thymidylyltransferase [EC:2.7.7.24]	COG1209	RmlA1	dTDP-glucose pyrophosphorylase	Uisw_114_01001	-1
CP159818.1	830601	831293	-	Uisw_114_01001	Uisw_114	230	OG0003470	NA	NA	COG0739	NlpD	Murein endopeptidase or hydrolase activator MepM/NlpD, contains LysM domain	Uisw_114_01001	0
CP159818.1	831597	832376	+	Uisw_114_01002	Uisw_114	259	OG0001076	NA	NA	NA	NA	NA	Uisw_114_01001	1
CP159818.1	832731	832958	-	Uisw_114_01003	Uisw_114	75	OG0001103	NA	NA	NA	NA	NA	Uisw_114_01001	2
CP159818.1	833000	835444	-	Uisw_114_01004	Uisw_114	814	OG0000080	NA	NA	COG0404	GcvT	Glycine cleavage system protein T (aminomethyltransferase)	Uisw_114_01001	3
CP159818.1	835491	835934	-	Uisw_114_01005	Uisw_114	147	OG0001115	NA	NA	COG3909	CytC556	Cytochrome c556	Uisw_114_01001	4
CP159818.1	835938	836480	+	Uisw_114_01006	Uisw_114	180	OG0001114	K12262	superoxide oxidase [EC:1.10.3.17]	COG3038	CybB	Cytochrome b561	Uisw_114_01001	5
