contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CACLFM010000001.1	167797	168216	-	AG-461-M18_00178	AG-461-M18	139	OG0000765	K09826	Fur family transcriptional regulator, iron response regulator	COG0735	Fur	Fe2+ or Zn2+ uptake regulation protein Fur/Zur	AG-461-M18_00183	-5
CACLFM010000001.1	168288	168788	+	AG-461-M18_00179	AG-461-M18	166	OG0000292	K01716	3-hydroxyacyl-[acyl-carrier protein] dehydratase / trans-2-decenoyl-[acyl-carrier protein] isomerase [EC:4.2.1.59 5.3.3.14]	COG0764	FabA	3-hydroxymyristoyl/3-hydroxydecanoyl-(acyl carrier protein) dehydratase	AG-461-M18_00183	-4
CACLFM010000001.1	168788	169999	+	AG-461-M18_00180	AG-461-M18	403	OG0000133	NA	NA	COG0304	FabB	3-oxoacyl-(acyl-carrier-protein) synthase	AG-461-M18_00183	-3
CACLFM010000001.1	170011	170787	+	AG-461-M18_00181	AG-461-M18	258	OG0000237	K00208	enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]	COG0623	FabI	Enoyl-[acyl-carrier-protein] reductase FabI	AG-461-M18_00183	-2
CACLFM010000001.1	170851	171441	+	AG-461-M18_00182	AG-461-M18	196	OG0001373	K04564	superoxide dismutase, Fe-Mn family [EC:1.15.1.1]	COG0605	SodA	Superoxide dismutase	AG-461-M18_00183	-1
CACLFM010000001.1	171591	172385	+	AG-461-M18_00183	AG-461-M18	264	OG0003596	NA	NA	NA	NA	NA	AG-461-M18_00183	0
CACLFM010000001.1	172524	172715	-	AG-461-M18_00184	AG-461-M18	63	OG0000871	NA	NA	NA	NA	NA	AG-461-M18_00183	1
CACLFM010000001.1	172881	173243	-	AG-461-M18_00185	AG-461-M18	120	OG0000053	NA	NA	COG0607	PspE	Rhodanese-related sulfurtransferase	AG-461-M18_00183	2
CACLFM010000001.1	173267	173419	-	AG-461-M18_00186	AG-461-M18	50	OG0001476	NA	NA	NA	NA	NA	AG-461-M18_00183	3
CACLFM010000001.1	173425	175497	-	AG-461-M18_00187	AG-461-M18	690	OG0000258	K00962	polyribonucleotide nucleotidyltransferase [EC:2.7.7.8]	COG1185	Pnp	Polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	AG-461-M18_00183	4
CACLFM010000001.1	175498	175746	-	AG-461-M18_00188	AG-461-M18	82	OG0000463	K02956	small subunit ribosomal protein S15	COG0184	RpsO	Ribosomal protein S15P/S13E	AG-461-M18_00183	5
CACCND010000005.1	28957	31005	+	AG-901-G03_00773	AG-901-G03	682	OG0001996	NA	NA	NA	NA	NA	AG-901-G03_00778	-5
CACCND010000005.1	31048	31620	-	AG-901-G03_00774	AG-901-G03	190	OG0002632	NA	NA	NA	NA	NA	AG-901-G03_00778	-4
CACCND010000005.1	31757	32671	+	AG-901-G03_00775	AG-901-G03	304	OG0004186	NA	NA	NA	NA	NA	AG-901-G03_00778	-3
