contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CACEPS010000001.1	85075	86223	-	AG-907-B09_00101	AG-907-B09	382	OG0001619	K00831	phosphoserine aminotransferase [EC:2.6.1.52]	COG1932	SerC	Phosphoserine aminotransferase	AG-907-B09_00106	-5
CACEPS010000001.1	86259	86930	-	AG-907-B09_00102	AG-907-B09	223	OG0001563	K06137	pyrroloquinoline-quinone synthase [EC:1.3.3.11]	COG5424	PqqC	Pyrroloquinoline quinone (PQQ) synthase PqqC, TenA/Thi4/PqqC family	AG-907-B09_00106	-4
CACEPS010000001.1	87034	87309	-	AG-907-B09_00103	AG-907-B09	91	OG0000515	K03530	DNA-binding protein HU-beta	COG0776	HupA	DNA-binding chromatin protein HU or IHF, alpha or beta variants	AG-907-B09_00106	-3
CACEPS010000001.1	87440	88537	-	AG-907-B09_00104	AG-907-B09	365	OG0000776	K11749	regulator of sigma E protease [EC:3.4.24.-]	COG0750	RseP	Membrane-associated protease RseP, regulator of RpoE activity	AG-907-B09_00106	-2
CACEPS010000001.1	88534	89154	-	AG-907-B09_00105	AG-907-B09	206	OG0000076	NA	NA	COG1280	RhtB	Threonine/homoserine/homoserine lactone efflux protein	AG-907-B09_00106	-1
CACEPS010000001.1	89250	89756	+	AG-907-B09_00106	AG-907-B09	168	OG0002549	NA	NA	COG1664	CcmA	Cytoskeletal protein CcmA, bactofilin family	AG-907-B09_00106	0
CACEPS010000001.1	89771	90094	+	AG-907-B09_00107	AG-907-B09	107	OG0001764	NA	NA	COG1664	CcmA	Cytoskeletal protein CcmA, bactofilin family	AG-907-B09_00106	1
CACEPS010000001.1	90096	90332	+	AG-907-B09_00108	AG-907-B09	78	OG0003344	NA	NA	NA	NA	NA	AG-907-B09_00106	2
CACEPS010000001.1	90333	91223	-	AG-907-B09_00109	AG-907-B09	296	OG0000100	NA	NA	COG0583	LysR	DNA-binding transcriptional regulator, LysR family	AG-907-B09_00106	3
CACEPS010000001.1	91223	92221	-	AG-907-B09_00110	AG-907-B09	332	OG0000186	K19745	acrylyl-CoA reductase (NADPH) [EC:1.3.1.-]	COG0604	Qor	NADPH:quinone reductase or related Zn-dependent oxidoreductase	AG-907-B09_00106	4
CACEPS010000001.1	92208	92441	-	AG-907-B09_00111	AG-907-B09	77	OG0002433	NA	NA	NA	NA	NA	AG-907-B09_00106	5
NYVZ01000006.1	13210	14358	-	CPC289_00177	CPC289	382	OG0001619	K00831	phosphoserine aminotransferase [EC:2.6.1.52]	COG0075	PucG	Archaeal aspartate aminotransferase or a related aminotransferase, includes purine catabolism protein PucG	CPC289_00182	-5
NYVZ01000006.1	14418	15089	-	CPC289_00178	CPC289	223	OG0001563	K06137	pyrroloquinoline-quinone synthase [EC:1.3.3.11]	COG5424	PqqC	Pyrroloquinoline quinone (PQQ) synthase PqqC, TenA/Thi4/PqqC family	CPC289_00182	-4
NYVZ01000006.1	15224	15499	-	CPC289_00179	CPC289	91	OG0000515	K03530	DNA-binding protein HU-beta	COG0776	HupA	DNA-binding chromatin protein HU or IHF, alpha or beta variants	CPC289_00182	-3
NYVZ01000006.1	15623	16723	-	CPC289_00180	CPC289	366	OG0000776	K11749	regulator of sigma E protease [EC:3.4.24.-]	COG0750	RseP	Membrane-associated protease RseP, regulator of RpoE activity	CPC289_00182	-2
