contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CABZHN010000002.1	28058	28798	+	AG-337-G06_00281	AG-337-G06	246	OG0000947	NA	NA	COG0685	MetF	5,10-methylenetetrahydrofolate reductase	AG-337-G06_00286	-5
CABZHN010000002.1	28791	30134	+	AG-337-G06_00282	AG-337-G06	447	OG0000097	NA	NA	COG0404	GcvT	Glycine cleavage system protein T (aminomethyltransferase)	AG-337-G06_00286	-4
CABZHN010000002.1	30177	30671	-	AG-337-G06_00283	AG-337-G06	164	OG0001767	K07304	peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]	COG0225	MsrA	Peptide methionine sulfoxide reductase MsrA	AG-337-G06_00286	-3
CABZHN010000002.1	30747	31886	+	AG-337-G06_00284	AG-337-G06	379	OG0000977	NA	NA	COG4948	RspA	L-alanine-DL-glutamate epimerase or related enzyme of enolase superfamily	AG-337-G06_00286	-2
CABZHN010000002.1	31883	33394	+	AG-337-G06_00285	AG-337-G06	503	OG0000074	K18661	malonyl-CoA/methylmalonyl-CoA synthetase [EC:6.2.1.76 6.2.1.-]	COG0318	MenE	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	AG-337-G06_00286	-1
CABZHN010000002.1	33384	34376	-	AG-337-G06_00286	AG-337-G06	330	OG0001856	NA	NA	COG1647	YvaK	Esterase/lipase	AG-337-G06_00286	0
CABZHN010000002.1	34369	34752	-	AG-337-G06_00287	AG-337-G06	127	OG0001184	NA	NA	COG0346	GloA	Glyoxalase, catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	AG-337-G06_00286	1
CABZHN010000002.1	34765	35928	-	AG-337-G06_00288	AG-337-G06	387	OG0001372	NA	NA	COG1680	AmpC	CubicO group peptidase, beta-lactamase class C family	AG-337-G06_00286	2
CABZHN010000002.1	35909	37345	-	AG-337-G06_00289	AG-337-G06	478	OG0000064	NA	NA	COG0154	GatA	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	AG-337-G06_00286	3
CABZHN010000002.1	37358	38548	-	AG-337-G06_00290	AG-337-G06	396	OG0000078	NA	NA	COG1454	EutG	Alcohol dehydrogenase, class IV	AG-337-G06_00286	4
CABZHN010000002.1	38565	39626	-	AG-337-G06_00291	AG-337-G06	353	OG0000000	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	COG4175	ProV	ABC-type proline/glycine betaine transport system, ATPase component	AG-337-G06_00286	5
CACGAF010000002.1	18	500	+	AG-422-B15_00191	AG-422-B15	160	OG0000074	NA	NA	COG0318	MenE	O-succinylbenzoic acid-CoA ligase MenE or related acyl-CoA synthetase (AMP-forming)	AG-422-B15_00192	-1
CACGAF010000002.1	490	1443	-	AG-422-B15_00192	AG-422-B15	317	OG0001856	NA	NA	COG1647	YvaK	Esterase/lipase	AG-422-B15_00192	0
CACGAF010000002.1	1503	1877	-	AG-422-B15_00193	AG-422-B15	124	OG0001184	NA	NA	COG0346	GloA	Glyoxalase, catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family	AG-422-B15_00192	1
CACGAF010000002.1	1890	3053	-	AG-422-B15_00194	AG-422-B15	387	OG0001372	NA	NA	COG1680	AmpC	CubicO group peptidase, beta-lactamase class C family	AG-422-B15_00192	2
CACGAF010000002.1	3046	4386	-	AG-422-B15_00195	AG-422-B15	446	OG0000064	NA	NA	COG0154	GatA	Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit or related amidase	AG-422-B15_00192	3
CACGAF010000002.1	4484	5674	-	AG-422-B15_00196	AG-422-B15	396	OG0000078	NA	NA	COG1454	EutG	Alcohol dehydrogenase, class IV	AG-422-B15_00192	4
CACGAF010000002.1	5695	6735	-	AG-422-B15_00197	AG-422-B15	346	OG0000000	K02000	glycine betaine/proline transport system ATP-binding protein [EC:7.6.2.9]	COG4175	ProV	ABC-type proline/glycine betaine transport system, ATPase component	AG-422-B15_00192	5
CACGCK010000002.1	68117	68857	+	AG-422-C21_00632	AG-422-C21	246	OG0000947	NA	NA	COG0685	MetF	5,10-methylenetetrahydrofolate reductase	AG-422-C21_00637	-5
CACGCK010000002.1	68850	70193	+	AG-422-C21_00633	AG-422-C21	447	OG0000097	NA	NA	COG0404	GcvT	Glycine cleavage system protein T (aminomethyltransferase)	AG-422-C21_00637	-4
