contig	start	end	strand	seq_id	genome	aa_length	Orthogroup	ko_id	ko_description	COG_ID	GENE_NAME	COG_NAME	center_query	relative_order
CABWYD010000004.1	43083	44096	+	AG-313-A04_00612	AG-313-A04	337	OG0000299	NA	NA	COG0492	TrxB	Thioredoxin reductase	AG-313-A04_00617	-5
CABWYD010000004.1	44093	44719	+	AG-313-A04_00613	AG-313-A04	208	OG0000255	K11209	GSH-dependent disulfide-bond oxidoreductase [EC:1.8.4.-]	COG0625	GstA	Glutathione S-transferase or stringent starvation protein SspA	AG-313-A04_00617	-4
CABWYD010000004.1	44716	45141	-	AG-313-A04_00614	AG-313-A04	141	OG0000366	K06204	DnaK suppressor protein	COG1734	DksA	RNA polymerase-binding transcription factor DksA	AG-313-A04_00617	-3
CABWYD010000004.1	45217	46590	+	AG-313-A04_00615	AG-313-A04	457	OG0000780	NA	NA	COG1807	ArnT	PMT family glycosyltransferase ArnT/Agl22, involved in glycosylation of proteins and lipid IVA	AG-313-A04_00617	-2
CABWYD010000004.1	46587	47459	+	AG-313-A04_00616	AG-313-A04	290	OG0000695	NA	NA	COG0463	WcaA	Glycosyltransferase involved in cell wall bisynthesis	AG-313-A04_00617	-1
CABWYD010000004.1	47588	47950	+	AG-313-A04_00617	AG-313-A04	120	OG0001228	NA	NA	COG3791	NA	Uncharacterized conserved protein	AG-313-A04_00617	0
CABWYD010000004.1	47955	48872	+	AG-313-A04_00618	AG-313-A04	305	OG0000937	K15918	D-glycerate 3-kinase [EC:2.7.1.31]	COG4240	Tda10	Pantothenate kinase-related protein Tda10 (topoisomerase I damage affected protein)	AG-313-A04_00617	1
CABWYD010000004.1	48873	50162	+	AG-313-A04_00619	AG-313-A04	429	OG0000566	K12340	outer membrane protein	COG1538	TolC	Outer membrane protein TolC	AG-313-A04_00617	2
CABWYD010000004.1	50255	51364	+	AG-313-A04_00620	AG-313-A04	369	OG0000672	K03553	recombination protein RecA	COG0468	RecA	RecA/RadA recombinase	AG-313-A04_00617	3
CABWYD010000004.1	51531	53084	+	AG-313-A04_00621	AG-313-A04	517	OG0001003	K00138	aldehyde dehydrogenase [EC:1.2.1.-]	COG1012	AdhE	Acyl-CoA reductase or other NAD-dependent aldehyde dehydrogenase	AG-313-A04_00617	4
CABWYD010000004.1	53118	53492	+	AG-313-A04_00622	AG-313-A04	124	OG0001194	K09959	uncharacterized protein	COG3564	NA	Uncharacterized conserved protein, DUF779 family	AG-313-A04_00617	5
CABXTN010000002.1	82988	84289	+	AG-325-C21_00223	AG-325-C21	433	OG0000027	K03320	ammonium transporter, Amt family	COG0004	AmtB	Ammonia channel protein AmtB	AG-325-C21_00228	-5
CABXTN010000002.1	84361	85350	-	AG-325-C21_00224	AG-325-C21	329	OG0001120	NA	NA	NA	NA	NA	AG-325-C21_00228	-4
CABXTN010000002.1	85380	85763	+	AG-325-C21_00225	AG-325-C21	127	OG0000053	NA	NA	COG0607	PspE	Rhodanese-related sulfurtransferase	AG-325-C21_00228	-3
CABXTN010000002.1	85766	86239	-	AG-325-C21_00226	AG-325-C21	157	OG0000849	NA	NA	NA	NA	NA	AG-325-C21_00228	-2
CABXTN010000002.1	86268	86831	+	AG-325-C21_00227	AG-325-C21	187	OG0000698	K03565	regulatory protein	COG2137	RecX	SOS response regulatory protein OraA/RecX, interacts with RecA	AG-325-C21_00228	-1
CABXTN010000002.1	86835	87335	-	AG-325-C21_00228	AG-325-C21	166	OG0001228	NA	NA	COG3791	NA	Uncharacterized conserved protein	AG-325-C21_00228	0
CABXTN010000002.1	87335	88108	-	AG-325-C21_00229	AG-325-C21	257	OG0000657	K01082	3'(2'), 5'-bisphosphate nucleotidase [EC:3.1.3.7]	COG1218	CysQ	3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase	AG-325-C21_00228	1
CABXTN010000002.1	88089	88271	-	AG-325-C21_00230	AG-325-C21	60	OG0000852	NA	NA	NA	NA	NA	AG-325-C21_00228	2
CABXTN010000002.1	88314	89432	+	AG-325-C21_00231	AG-325-C21	372	OG0000581	NA	NA	COG0482	MnmA	tRNA U34 2-thiouridine synthase MnmA/TrmU, contains the PP-loop ATPase domain	AG-325-C21_00228	3
CABXTN010000002.1	89429	90139	-	AG-325-C21_00232	AG-325-C21	236	OG0001227	NA	NA	NA	NA	NA	AG-325-C21_00228	4
CABXTN010000002.1	90310	91485	+	AG-325-C21_00233	AG-325-C21	391	OG0000863	NA	NA	COG0626	MetC	Cystathionine beta-lyase/cystathionine gamma-synthase	AG-325-C21_00228	5
CABXTN010000028.1	3214	3339	+	AG-325-C21_01055	AG-325-C21	41	OG0001423	NA	NA	NA	NA	NA	AG-325-C21_01060	-5
CABXTN010000028.1	3344	4219	+	AG-325-C21_01056	AG-325-C21	291	OG0000695	NA	NA	COG0463	WcaA	Glycosyltransferase involved in cell wall bisynthesis	AG-325-C21_01060	-4
CABXTN010000028.1	4212	5399	+	AG-325-C21_01057	AG-325-C21	395	OG0001441	NA	NA	NA	NA	NA	AG-325-C21_01060	-3
