AAA795-A20_00003	Q4FLK5	93.4	305	305	396	100	77.0	8.03e-207	573
AAA795-A20_00073	Q4FMR6	86.7	90	90	92	98.9	97.8	3.23e-46	145
AAA795-A20_00091	Q4FLJ7	92.3	260	261	260	99.6	100	3.92e-170	473
AAA795-A20_00094	Q4FLJ4	86.3	728	730	730	99.7	99.7	0.0	1276
AAA795-A20_00141	Q4FLB9	85.1	175	175	175	100	100	2.29e-104	299
AAA795-A20_00157	Q4FLK9	85.7	112	112	229	100	48.9	3.57e-61	189
AAA795-A20_00219	Q4FP47	96.4	84	84	84	100	100	2.60e-51	158
AAA795-A20_00228	Q4FP38	94.5	472	472	472	100	100	0.0	871
AAA795-A20_00229	Q4FP37	88.0	291	290	291	100	100	6.99e-172	479
AAA795-A20_00230	Q4FP36	93.3	511	511	511	100	100	0.0	920
AAA795-A20_00240	Q4FP29	92.0	386	386	386	100	100	7.88e-249	682
AAA795-A20_00241	Q4FP28	91.1	158	159	320	99.4	49.4	1.45e-98	289
AAA795-A20_00244	Q4FNW1	86.8	281	281	281	100	100	2.24e-177	493
AAA795-A20_00259	Q4FLL2	87.7	734	754	1363	97.2	53.9	0.0	1281
AAA795-A20_00260	Q4FLL1	96.9	64	64	121	100	52.9	1.35e-32	111
AAA795-A20_00274	Q4FMI9	91.7	192	195	193	98.5	99.5	2.34e-120	341
AAA795-A20_00346	Q4FL49	93.6	561	561	561	100	100	0.0	1062
AAA795-A20_00349	B6BQB2	93.9	443	459	444	96.5	99.8	0.0	890
AAA795-A20_00352	Q4FL38	87.6	716	717	717	99.9	99.9	0.0	1235
AAA795-A20_00353	Q4FL37	87.4	340	343	341	99.1	99.7	2.97e-208	576
AAA795-A20_00357	Q4FL33	93.3	315	314	314	100	100	2.12e-219	602
AAA795-A20_00409	Q4FM91	93.4	122	122	122	100	100	1.23e-78	230
AAA795-A20_00410	Q4FM90	93.0	171	171	173	100	98.8	3.45e-118	334
AAA795-A20_00412	Q4FM88	94.1	391	391	391	100	100	4.52e-278	756
